1627,Birur Jn,Karnataka 
1628,Bisalwas Kalan,Rajasthan 
1629,Bisanattam,Andhra Pradesh 
163,Kozhikode,Kerala
1630,Bishnathganj,Uttar Pradesh 
1631,Bishrampur,Chhattisgarh 
1632,Bisra,Orissa 
1633,Bissamcuttack,Orissa 
1634,Bissau,Rajasthan 
1635,Biswan,Uttar Pradesh 
1636,Bitragunta,Andhra Pradesh 
1637,Biaora Railway Station Rajgarh,Madhya Pradesh 
1638,Bobbili,Andhra Pradesh 
1639,Bochasan,Gujarat 
164,Kuchaman,Rajasthan 
1640,Bodwad,Maharashtra 
1641,Bohani,Madhya Pradesh 
1642,Boinda,Orissa 
1643,Boisar,Maharashtra 
1644,Bokajan,Assam 
1645,Bokakhat,Assam 
1646,Bokaro Thermal,Jharkhand 
1647,Bolai,Madhya Pradesh 
1648,Bolarum,Andhra Pradesh 
1649,Bolpur S Niktn,West Bengal 
165,Kudremukh,Karnataka 
1650,Bommidi,Tamil Nadu 
1651,Bona Kalu,Andhra Pradesh 
1652,Bondamunda,Orissa 
1653,Bordi(Bio),Gujarat 
1654,Borhat,Assam 
1655,Borivali,Maharashtra 
1656,Boroti,Maharashtra 
1657,Borvihir,Maharashtra 
1658,Botad,Gujarat 
1659,Brahmanagudem,Andhra Pradesh 
166,Kufri,Himachal Pradesh 
1660,Brahmapur,Orissa 
1661,Brajrajnagar,Orissa 
1662,Budalur,Tamil Nadu 
1663,Budaun,Uttar Pradesh 
1664,Buddireddippati,Tamil Nadu 
1665,Budhalada,Punjab 
1666,Budni,Madhya Pradesh 
1667,Bulandshahar,Uttar Pradesh 
1668,Bundki,Uttar Pradesh 
1669,Buniadpur,West Bengal 
167,Kukke Subramanya,Karnataka 
1670,Burdwan,West Bengal 
1671,Burgur,Tamil Nadu 
1672,Burhanpur,Madhya Pradesh 
1673,Burhar,Madhya Pradesh 
1674,Burhwal,Uttar Pradesh 
1675,Burnpur,West Bengal 
1676,Butari,Punjab 
1677,Byadagi,Karnataka 
1678,Byadarahalli,Karnataka 
1679,Byndoor,Karnataka 
168,Kullu,Himachal Pradesh
1680,Calangute,Goa 
1681,Calungute,Goa 
1682,Canacona,Goa 
1683,Cancona,Goa 
1684,Cannanore,Karnataka 
1685,Castle Rock,Karnataka 
1686,Cavalry Barracks,Andhra Pradesh 
1687,Chebrolu,Andhra Pradesh 
1688,Chabua,Assam 
1689,Chachaura,Madhya Pradesh 
169,Kumarakom,Kerala
1690,Chachaura Bngj,Madhya Pradesh 
1691,Chagallu,Andhra Pradesh 
1692,Chainpur,Bihar 
1693,Chainwa,Bihar 
1694,Chhajli,Punjab
1695,Chakdayala,Jammu and Kashmir 
1696,Chakia,Uttar Pradesh
1697,Chakki Bank,Punjab 
